o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
Utah,North Carolina,5,40.194,-112.023,35.621,-80.045
North Carolina,Iowa,4,35.468,-79.429,42.034,-93.466
Mississippi,Tennessee,215,34.584,-89.833,35.204,-89.512
Virginia,Illinois,10,37.539,-77.805,41.693,-87.863
Colorado,Texas,136,39.406,-105.27,31.529,-97.749
Maine,Rhode Island,2,44.812,-68.795,41.567,-71.488
Massachusetts,Tennessee,3,42.123,-70.858,35.101,-88.696
Montana,South Dakota,1,47.937,-107.713,43.787,-99.338
New Jersey,Arkansas,2,40.744,-74.286,34.672,-91.745
Arkansas,California,15,34.903,-92.473,36.121,-119.729
North Carolina,Colorado,18,35.378,-80.457,39.222,-105.635
North Carolina,Missouri,9,35.523,-79.91,38.466,-92.153
Kansas,Oregon,4,39.229,-98.512,44.572,-121.12
Louisiana,Nebraska,1,29.983,-90.011,41.276,-96.053
New Hampshire,Alabama,1,44.053,-71.128,32.576,-86.681
Arizona,Arizona,40369,33.357,-111.881,33.379,-111.88
District of Columbia,Alabama,3,38.899,-77.014,33.124,-86.656
Nevada,Oregon,13,37.091,-116.187,45.183,-122.743
Virginia,Wyoming,2,36.817,-76.177,44.195,-109.457
Wyoming,South Carolina,1,43.511,-104.954,34.941,-81.018
District of Columbia,North Carolina,27,38.898,-77.021,35.503,-79.83
New Hampshire,Florida,3,43.177,-71.44,27.256,-80.744
South Carolina,Missouri,1,33.689,-78.887,36.644,-93.219
Ohio,Virginia,12,39.962,-83.025,38.035,-78.16
Wyoming,Washington,5,43.51,-109.223,47.196,-121.779
Kansas,California,53,38.643,-98.017,35.381,-119.452
Michigan,West Virginia,2,42.547,-83.799,39.037,-80.027
New Jersey,Washington,2,40.848,-74.438,47.752,-122.247
Kansas,Maine,1,39.059,-95.775,45.213,-67.667
Rhode Island,Massachusetts,208,41.82,-71.42,42.037,-71.326
New York,New Hampshire,6,41.57,-74.639,43.619,-71.442
Wisconsin,Massachusetts,3,43.539,-87.964,42.266,-71.049
Kansas,Georgia,9,39.187,-98.468,33.221,-84.161
Nebraska,Wyoming,2,41.127,-97.999,41.451,-105.924
Nebraska,Nebraska,8608,41.132,-96.602,41.147,-96.706
Kentucky,Pennsylvania,14,37.764,-84.716,40.296,-77.581
Utah,Idaho,29,40.576,-111.934,44.16,-114.0
Alabama,Minnesota,4,33.42,-86.128,46.308,-93.428
California,Arizona,318,34.34,-118.039,33.821,-112.074
Montana,Idaho,6,47.42,-112.791,44.938,-114.119
Kansas,Minnesota,5,38.958,-95.936,44.658,-93.161
New Hampshire,New York,5,43.542,-71.386,41.229,-74.485
Nevada,New Jersey,16,36.213,-115.28,40.433,-74.291
Illinois,Nevada,15,41.795,-87.814,36.122,-115.143
Minnesota,Oregon,5,45.357,-93.959,44.817,-122.301
Illinois,Maine,3,37.16,-88.728,44.758,-69.437
Rhode Island,Iowa,1,41.699,-71.437,41.977,-91.683
Florida,Kentucky,13,27.704,-81.552,37.794,-85.718
Indiana,Nebraska,6,40.939,-85.987,41.319,-98.602
Oklahoma,Pennsylvania,9,35.737,-97.236,40.185,-75.701
Texas,Rhode Island,1,32.91,-96.852,41.757,-71.458
Pennsylvania,Tennessee,13,40.029,-76.602,36.014,-86.548
Indiana,California,24,40.273,-85.932,35.45,-119.504
Mississippi,Arkansas,15,33.701,-89.687,35.134,-91.433
Indiana,Indiana,30907,40.118,-86.208,40.109,-86.216
Washington,Kansas,2,46.918,-120.732,37.695,-97.276
Utah,Georgia,6,40.506,-111.968,33.465,-84.222
Arkansas,Michigan,1,36.442,-93.816,42.337,-83.051
Georgia,Mississippi,32,33.633,-84.419,32.762,-89.587
Virginia,Wisconsin,2,37.702,-79.198,43.755,-90.433
Louisiana,Alabama,56,30.557,-91.098,32.404,-86.956
Georgia,Maryland,36,33.585,-84.113,39.125,-76.725
Mississippi,West Virginia,3,32.972,-89.19,39.301,-79.397
Wyoming,Louisiana,2,43.631,-110.807,31.192,-91.65
Oregon,Oklahoma,1,45.769,-118.505,36.511,-95.064
Nebraska,Pennsylvania,2,41.118,-96.413,40.575,-79.349
North Carolina,Virginia,184,35.712,-79.489,37.387,-78.23
Missouri,New York,19,38.926,-93.173,41.166,-74.22
West Virginia,South Carolina,3,38.195,-81.337,33.735,-80.981
Florida,Alabama,113,29.458,-84.629,32.056,-86.768
Tennessee,Utah,4,35.57,-85.276,40.051,-112.122
Georgia,Massachusetts,15,33.647,-84.412,42.249,-71.02
Wisconsin,Washington,5,43.232,-88.146,47.516,-121.636
Nevada,Colorado,34,36.229,-115.225,39.249,-105.445
Texas,Ohio,38,31.425,-96.524,39.914,-83.231
Massachusetts,Alabama,2,42.364,-71.376,33.457,-86.799
North Carolina,Kentucky,9,35.462,-80.57,38.216,-85.23
New York,Texas,89,40.834,-74.072,31.042,-97.354
New Hampshire,Massachusetts,205,42.962,-71.397,42.475,-71.325
South Dakota,Texas,3,43.286,-98.426,31.385,-96.263
California,Missouri,29,34.345,-118.589,38.46,-92.532
Oklahoma,Washington,6,35.671,-96.466,47.889,-121.483
California,Maryland,29,34.135,-118.25,39.114,-76.715
Rhode Island,New Hampshire,5,41.747,-71.42,43.098,-71.279
Pennsylvania,Maryland,137,40.049,-76.396,39.227,-76.723
Vermont,New Jersey,2,44.507,-73.028,40.244,-74.767
Idaho,Georgia,3,43.249,-115.474,33.576,-84.297
Ohio,Vermont,2,40.601,-81.387,43.693,-72.739
Rhode Island,Maryland,1,41.636,-71.174,39.285,-76.62
Oregon,Iowa,2,44.208,-123.294,42.193,-92.044
Florida,Maryland,41,27.495,-81.358,39.157,-76.807
Arizona,Louisiana,7,33.377,-112.593,31.137,-91.463
Wisconsin,Maryland,2,44.266,-89.032,38.744,-75.894
Nevada,Idaho,13,38.109,-116.372,43.789,-116.073
Alabama,Idaho,3,32.445,-86.119,43.105,-114.363
Missouri,Georgia,15,38.749,-91.579,33.548,-83.808
Missouri,North Dakota,1,37.207,-93.249,47.925,-97.033
Idaho,Texas,6,43.492,-114.582,31.857,-98.538
Washington,Idaho,68,47.332,-119.153,46.17,-116.183
Georgia,New Jersey,34,33.719,-84.429,40.375,-74.383
New York,Washington,15,40.856,-74.069,47.49,-121.923
Alabama,Illinois,10,33.594,-86.926,41.273,-87.944
Illinois,District of Columbia,8,41.213,-88.316,38.892,-77.019
New Hampshire,Illinois,1,42.753,-71.504,41.834,-87.732
Illinois,Nebraska,13,41.537,-88.178,41.135,-97.077
California,Ohio,35,34.351,-118.571,40.449,-82.688
Pennsylvania,Virginia,67,40.223,-76.28,38.225,-77.989
District of Columbia,Maryland,1052,38.899,-77.012,38.966,-76.926
West Virginia,Tennessee,7,38.605,-80.627,35.982,-86.14
Kansas,Oklahoma,31,37.807,-96.784,35.958,-97.194
Illinois,Rhode Island,1,41.834,-87.732,41.699,-71.437
District of Columbia,Missouri,4,38.898,-77.015,38.351,-91.62
Maryland,Michigan,3,39.317,-77.367,42.58,-83.464
New Mexico,Idaho,1,35.605,-105.655,42.685,-114.918
