o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
31,53,503,41.089,-97.455,47.299,-120.897
21,15,514,38.028,-85.441,20.788,-157.041
27,01,1579,45.727,-93.816,32.439,-86.98
09,21,341,41.6,-72.862,37.957,-85.217
50,38,16,43.171,-72.48,46.873,-97.909
17,55,97018,41.999,-88.411,43.075,-88.679
17,41,1470,41.438,-88.27,44.769,-122.135
47,04,5065,35.878,-86.394,33.619,-111.993
19,47,4130,41.756,-93.051,35.896,-85.593
19,53,886,41.978,-93.132,47.188,-121.475
27,21,1089,45.134,-93.66,37.758,-86.079
39,41,926,40.325,-82.88,44.614,-122.353
13,17,10727,33.436,-83.852,40.757,-88.561
33,05,85,43.237,-71.684,35.613,-93.61
41,10,55,44.8,-122.351,39.273,-75.576
40,19,5600,35.58,-96.594,41.766,-93.061
09,46,55,41.387,-72.899,44.104,-98.109
21,49,895,37.958,-85.514,40.141,-111.889
29,40,28492,37.705,-93.319,35.976,-96.24
34,37,7299,40.382,-74.48,35.45,-79.488
53,48,12545,47.285,-121.649,31.171,-97.592
44,54,41,41.685,-71.417,39.02,-79.883
40,22,5703,35.468,-96.891,31.27,-92.336
30,41,1836,46.605,-112.17,44.829,-122.384
51,11,46569,38.483,-77.392,38.901,-77.022
18,21,83653,38.714,-86.142,38.1,-85.807
16,13,771,44.415,-114.44,33.29,-83.847
48,44,447,31.209,-97.252,41.716,-71.467
20,53,939,38.494,-96.287,47.3,-121.655
35,39,778,34.577,-106.165,40.527,-82.972
05,05,5166546,35.129,-92.644,35.128,-92.641
46,31,11979,43.679,-98.356,41.543,-97.194
29,47,15754,37.868,-91.531,35.797,-87.233
16,54,38,43.622,-112.998,39.137,-78.958
47,50,169,36.08,-86.024,43.984,-72.637
28,26,1442,32.656,-89.384,42.8,-84.275
72,13,881,18.323,-66.307,33.329,-84.015
31,27,5146,41.14,-96.978,44.985,-93.551
13,01,119046,33.159,-84.41,32.925,-86.068
01,31,902,32.645,-86.658,41.132,-97.322
04,09,772,33.419,-111.813,41.438,-72.877
21,23,140,37.941,-84.8,43.981,-69.78
51,54,25290,37.968,-79.071,38.506,-79.959
46,48,3407,44.054,-99.15,31.311,-97.807
25,41,511,42.3,-71.337,44.968,-122.629
15,01,452,21.192,-157.52,32.826,-86.947
49,34,443,40.372,-111.747,40.52,-74.417
21,18,86778,37.922,-85.959,38.763,-86.337
33,28,85,43.007,-71.788,33.308,-89.127
45,18,3985,33.961,-81.028,39.975,-86.163
20,11,91,38.4,-96.06,38.896,-77.018
50,49,54,44.05,-72.958,40.674,-111.847
45,23,658,33.755,-80.618,43.975,-69.873
34,35,416,40.344,-74.486,34.818,-106.625
23,29,240,44.247,-69.62,38.661,-92.633
54,04,462,39.158,-80.13,33.623,-112.253
24,40,587,39.112,-76.753,35.638,-96.945
26,36,7581,42.604,-83.956,41.499,-74.774
47,72,188,35.648,-87.109,18.311,-66.326
05,08,6029,35.289,-93.057,39.44,-105.367
08,45,1973,39.514,-105.097,33.8,-80.833
51,48,17008,37.722,-77.636,31.175,-97.444
04,15,4207,33.508,-111.886,20.866,-157.082
47,35,1498,35.876,-86.18,34.676,-106.334
47,21,70417,36.169,-86.495,37.242,-86.283
27,04,13422,45.244,-93.762,33.456,-111.968
22,28,73230,30.7,-90.961,31.49,-89.911
56,29,676,42.281,-106.615,38.519,-92.875
25,49,673,42.193,-71.163,40.54,-111.829
22,13,13959,30.601,-91.253,33.513,-84.071
32,41,2824,37.552,-116.709,44.493,-122.13
50,06,521,43.825,-72.987,35.307,-119.284
31,13,1376,41.141,-96.871,33.286,-83.894
72,33,14,18.108,-66.696,43.148,-71.366
23,37,998,44.347,-69.674,35.386,-79.81
46,11,12,43.747,-101.481,38.898,-77.032
38,54,58,47.944,-100.426,38.947,-80.251
27,41,788,45.505,-93.585,44.765,-122.327
06,26,6776,34.954,-118.869,42.819,-84.115
48,23,848,31.284,-98.283,44.245,-69.724
10,27,56,38.911,-75.393,45.276,-93.409
53,13,3347,47.36,-121.958,33.342,-83.861
12,51,31897,28.194,-81.936,37.835,-77.722
27,29,4697,45.069,-93.639,38.615,-92.683
41,18,668,44.333,-122.271,40.382,-86.2
20,48,26036,38.336,-96.795,31.685,-97.537
27,12,31473,45.163,-93.553,27.369,-81.862
37,40,3300,35.486,-79.607,35.588,-96.876
37,54,8267,35.561,-79.727,38.39,-80.903
27,06,6360,45.106,-93.565,35.459,-119.043
35,36,431,34.671,-106.409,41.924,-74.993
36,15,1598,41.408,-74.38,21.052,-157.395
53,08,4715,47.332,-121.599,39.547,-105.157
17,72,833,41.514,-88.14,18.339,-66.305
27,26,3164,45.124,-93.411,43.423,-84.917
17,49,3034,41.493,-88.297,40.294,-111.876
21,26,5743,38.054,-85.123,42.659,-84.1
54,15,27,38.934,-79.196,21.4,-158.001
18,72,337,40.48,-86.526,18.336,-66.372
45,26,4094,33.931,-80.901,42.818,-84.096
48,17,26625,31.103,-97.296,40.942,-88.489
12,22,23278,28.955,-83.533,30.48,-91.095
41,44,10,44.841,-122.933,41.581,-71.361
15,29,281,21.232,-157.625,38.634,-92.727
36,17,7039,41.562,-74.867,41.381,-88.243
54,44,80,39.489,-80.046,41.757,-71.497
19,56,731,42.092,-93.899,42.405,-107.146
16,11,22,44.718,-114.861,38.9,-77.021
33,47,486,43.283,-71.453,35.919,-85.959
20,16,536,38.46,-96.581,43.632,-115.447
13,55,2980,33.388,-83.872,43.642,-88.907
02,49,388,61.658,-145.775,40.024,-112.111
36,50,10113,42.33,-73.894,43.637,-72.964
35,53,827,34.158,-106.142,47.328,-121.595
37,31,1316,35.405,-79.491,41.114,-97.561
55,51,2489,43.502,-88.671,37.638,-78.373
27,44,34,45.242,-93.528,41.729,-71.5
12,28,17122,29.149,-83.685,31.856,-89.301
54,30,66,38.856,-80.845,46.716,-111.309
28,38,177,31.698,-89.361,47.531,-99.629
