o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
1,2,230,32.579,-86.687,61.848,-149.286
1,54,1323,32.836,-86.714,38.639,-80.705
1,36,15395,33.021,-86.792,41.033,-74.193
1,29,6307,32.902,-86.806,38.251,-92.007
1,50,154,33.085,-86.914,44.067,-72.717
1,6,10476,32.97,-86.797,35.306,-119.186
1,55,2401,33.08,-86.743,43.594,-88.997
1,18,6195,33.191,-86.834,39.924,-86.288
1,21,9923,33.383,-86.796,37.636,-85.839
1,37,14808,33.046,-86.699,35.459,-80.402
1,13,206957,32.972,-86.043,33.246,-84.498
1,24,2952,33.085,-86.715,39.157,-76.786
1,12,107956,31.981,-86.775,29.589,-84.498
1,41,865,32.099,-87.09,45.077,-121.952
1,16,781,33.013,-86.559,43.946,-115.139
1,51,9376,33.133,-86.708,37.82,-78.174
1,19,2739,32.523,-87.03,41.464,-92.321
1,48,28694,32.707,-86.918,31.165,-97.072
1,33,401,32.994,-86.855,43.059,-71.36
1,27,1353,32.505,-86.908,45.093,-93.726
1,53,1756,32.554,-86.799,47.3,-121.693
1,49,1546,32.781,-86.769,40.345,-111.894
1,34,2711,32.882,-86.828,40.454,-74.432
1,25,1469,33.03,-86.77,42.32,-71.288
1,1,10952103,33.079,-86.765,33.073,-86.758
1,40,3223,33.07,-86.803,35.581,-96.857
1,17,9730,32.944,-86.933,40.911,-88.427
1,44,230,32.549,-87.118,41.71,-71.41
1,5,7361,33.118,-86.886,35.06,-91.967
1,22,26327,32.138,-87.257,30.493,-90.927
1,32,2575,32.84,-86.714,36.63,-115.629
1,72,240,32.768,-86.683,18.346,-66.329
1,45,9902,32.98,-86.666,34.012,-81.132
1,23,230,32.848,-86.763,44.08,-69.903
1,10,449,33.234,-86.616,39.237,-75.519
1,15,1073,33.088,-86.664,21.214,-157.675
1,46,401,32.929,-86.782,43.842,-99.025
1,28,81522,32.426,-87.581,32.283,-88.996
1,30,669,32.807,-86.935,46.501,-111.583
1,56,647,32.893,-86.941,42.359,-107.879
1,20,5095,32.783,-86.803,38.159,-97.161
1,39,6634,33.044,-86.774,40.284,-83.031
1,38,325,32.725,-86.759,47.379,-99.573
1,42,5651,32.966,-86.79,40.43,-77.241
1,11,992,33.219,-86.53,38.899,-77.024
1,8,6374,33.077,-86.835,39.564,-105.311
1,9,884,33.129,-86.658,41.445,-72.924
1,47,102395,33.848,-86.723,35.635,-86.04
1,31,957,32.927,-86.812,41.086,-97.741
1,26,4246,33.087,-86.818,42.668,-84.08
1,35,1716,33.109,-86.846,34.208,-105.984
1,4,3446,33.015,-86.76,33.554,-111.932
2,72,45,61.465,-148.496,18.378,-66.367
2,49,709,61.876,-147.666,40.185,-112.033
2,30,410,62.142,-149.372,46.434,-110.874
2,23,41,62.156,-149.962,44.181,-70.025
2,32,1593,61.9,-148.39,36.598,-115.614
2,12,2163,61.264,-146.402,28.026,-81.765
2,56,97,64.704,-150.337,42.381,-108.543
2,53,7695,61.433,-147.034,47.423,-121.861
2,45,175,62.587,-148.93,33.704,-80.992
2,50,30,60.221,-149.129,43.951,-72.825
2,39,350,62.698,-147.647,40.445,-83.122
2,29,607,62.721,-148.8,38.396,-92.746
2,10,19,59.355,-141.761,39.25,-75.618
2,24,118,61.008,-149.66,39.102,-76.85
2,4,1819,61.628,-148.181,33.499,-111.976
2,1,415,62.352,-149.579,32.666,-87.002
2,44,28,60.747,-151.262,41.811,-71.392
2,9,90,62.477,-150.731,41.579,-72.869
2,11,27,61.726,-149.349,38.903,-77.026
2,42,440,62.093,-148.702,40.483,-76.853
2,46,30,61.937,-146.84,43.92,-98.831
2,15,3148,61.596,-149.007,20.923,-157.11
2,20,362,62.492,-148.999,38.084,-97.295
2,8,812,61.64,-146.905,39.683,-105.305
2,22,458,62.76,-142.664,30.811,-91.764
2,21,164,62.323,-147.243,37.865,-85.706
2,25,168,61.382,-149.351,42.37,-71.534
2,19,122,61.886,-147.949,41.787,-92.805
2,37,453,62.065,-148.768,35.486,-79.179
2,36,430,61.428,-148.791,41.242,-74.327
2,28,167,63.608,-149.22,32.19,-89.577
2,35,209,60.802,-145.591,35.059,-106.872
2,55,317,61.755,-149.328,44.507,-89.571
2,18,216,61.449,-151.091,40.148,-85.993
2,26,422,63.286,-148.63,42.89,-84.469
2,17,569,62.097,-148.811,41.342,-88.276
2,33,31,63.431,-148.849,43.155,-71.485
2,47,479,62.259,-149.434,35.848,-87.185
2,51,286,61.515,-149.328,37.954,-77.932
2,38,70,63.668,-152.314,47.246,-99.429
2,48,2454,62.876,-148.703,31.301,-97.346
2,41,2582,61.526,-147.505,45.051,-122.472
2,31,128,63.09,-149.094,41.243,-97.58
2,5,139,63.839,-151.44,35.507,-92.564
2,6,3626,61.661,-148.344,35.5,-119.379
2,34,170,61.481,-148.599,40.208,-74.521
2,54,51,61.953,-147.521,38.302,-81.168
2,27,746,61.931,-149.187,45.241,-93.422
2,13,522,62.142,-149.018,33.295,-83.884
2,40,212,62.355,-150.012,35.583,-97.067
2,16,741,63.223,-148.13,45.439,-115.865
2,2,680881,61.502,-148.802,61.456,-148.737
4,4,9325981,33.341,-111.893,33.351,-111.897
4,72,228,33.246,-112.039,18.358,-66.285
4,38,2007,33.381,-111.866,47.259,-99.444
4,56,1672,33.524,-112.093,42.18,-107.039
4,22,4357,33.293,-111.933,30.61,-91.445
4,46,1174,33.507,-111.93,43.955,-99.764
4,29,5966,33.417,-111.928,38.53,-92.552
4,24,1990,33.377,-111.914,39.221,-76.787
4,21,1640,33.348,-111.924,37.992,-85.386
4,35,21951,33.882,-111.419,34.629,-107.054
4,26,4759,33.495,-112.013,42.743,-84.133
4,32,42521,33.861,-112.428,36.341,-115.377
4,49,16076,33.965,-112.025,39.759,-112.059
4,55,4506,33.412,-111.948,43.596,-88.966
4,30,2199,33.548,-112.144,46.554,-111.345
4,17,13132,33.389,-111.892,41.488,-88.304
4,9,1058,33.23,-111.788,41.463,-72.876
4,11,531,33.321,-111.837,38.906,-77.029
4,42,4461,33.368,-111.855,40.391,-77.06
4,50,176,32.969,-111.445,44.267,-72.873
4,41,8034,33.312,-111.95,44.841,-122.393
4,12,14978,33.345,-111.888,27.866,-81.746
4,15,7298,33.587,-111.922,21.043,-157.359
4,53,14325,33.397,-112.016,47.284,-121.683
4,5,2113,33.297,-111.893,35.18,-92.64
4,10,340,33.396,-111.658,39.349,-75.518
4,31,3250,33.437,-111.908,41.163,-97.444
4,13,4988,33.295,-111.865,33.4,-83.962
4,2,1595,33.349,-112.145,61.04,-147.372
4,18,4081,33.404,-111.854,40.267,-86.325
4,1,1888,33.404,-111.925,32.804,-86.756
4,20,6358,33.389,-111.894,38.181,-97.259
4,44,220,33.479,-111.994,41.669,-71.409
4,47,3436,33.374,-111.963,35.849,-86.496
4,19,5248,33.432,-111.911,41.672,-92.767
4,23,372,33.421,-111.886,44.29,-69.737
4,25,1817,33.359,-111.927,42.306,-71.381
4,48,33833,33.316,-111.85,31.533,-99.025
4,28,1457,33.396,-111.79,32.174,-89.448
4,37,4153,33.28,-111.766,35.476,-79.939
4,36,9076,33.403,-111.885,41.221,-74.457
4,8,16610,33.531,-111.887,39.407,-105.396
4,6,137149,33.485,-112.247,34.525,-118.285
4,34,3394,33.34,-111.819,40.527,-74.379
4,54,287,33.309,-112.053,39.069,-80.423
4,39,4535,33.316,-111.879,40.499,-82.762
4,27,7738,33.404,-111.928,45.136,-93.477
4,40,4512,33.475,-111.99,35.634,-97.253
4,16,5606,33.638,-111.897,43.856,-114.969
4,45,1991,33.267,-111.958,33.85,-80.782
4,33,506,33.409,-111.847,43.039,-71.355
4,51,3126,33.293,-111.82,38.119,-77.573
5,27,1305,35.48,-93.019,44.868,-93.204
5,54,407,35.316,-92.49,39.172,-80.751
5,45,2155,35.141,-92.592,33.952,-80.877
5,11,228,35.523,-93.033,38.904,-77.025
5,47,42774,35.23,-91.422,35.39,-88.993
5,32,2093,35.11,-92.814,36.596,-115.684
5,29,72226,35.708,-92.653,37.146,-92.612
5,6,7477,35.342,-92.915,35.128,-119.024
5,46,385,35.388,-92.523,43.774,-99.406
5,13,7376,35.195,-92.628,33.439,-84.015
5,33,91,35.373,-92.915,43.451,-71.527
5,12,11210,35.245,-92.664,28.303,-82.133
5,28,19390,34.888,-91.789,33.71,-89.917
5,51,2223,35.197,-92.622,37.766,-78.145
5,42,2612,35.194,-92.755,40.467,-76.859
5,56,596,35.239,-92.614,42.548,-107.315
5,5,5770791,35.127,-92.671,35.127,-92.671
5,20,9651,35.522,-93.123,38.193,-96.847
5,26,2193,35.301,-92.63,42.863,-84.263
5,34,1162,35.242,-92.761,40.421,-74.461
5,18,3482,35.297,-92.541,40.139,-86.283
5,40,43010,35.508,-93.767,35.574,-95.786
5,44,69,35.396,-92.964,41.686,-71.422
5,15,468,35.354,-92.609,21.079,-157.373
5,72,41,35.463,-92.763,18.347,-66.23
5,21,3178,35.321,-92.39,37.681,-86.071
5,4,2687,35.176,-92.945,33.767,-112.095
5,19,2478,35.397,-92.797,41.563,-92.713
5,16,319,34.938,-92.815,43.922,-114.907
5,35,2275,35.192,-92.988,34.31,-105.828
5,48,106679,34.643,-93.188,32.409,-96.183
5,30,290,35.49,-92.657,46.753,-111.799
5,36,4478,35.438,-93.003,41.213,-74.536
5,2,165,35.146,-92.65,63.149,-149.385
5,49,902,35.245,-93.109,40.515,-111.823
5,22,27095,34.094,-92.664,31.925,-92.403
5,17,8551,35.312,-92.618,40.614,-88.542
5,23,161,35.377,-93.152,44.212,-69.818
5,8,4863,35.224,-93.022,39.57,-105.249
5,9,463,35.488,-93.146,41.52,-72.681
5,41,581,35.371,-92.701,44.769,-122.427
5,37,2994,35.32,-92.747,35.458,-79.981
5,39,3008,35.326,-92.6,40.283,-83.031
5,38,515,35.217,-92.334,47.664,-101.076
5,25,659,35.471,-93.158,42.321,-71.684
5,53,1838,35.321,-92.672,47.355,-120.533
5,1,6230,35.159,-92.39,32.961,-86.853
5,55,1463,35.425,-92.804,43.632,-89.011
5,31,1168,35.42,-92.851,41.088,-97.707
5,50,153,35.81,-93.851,44.304,-73.04
5,24,712,35.289,-92.733,39.177,-76.864
5,10,311,35.085,-92.457,39.647,-75.493
6,10,1001,35.198,-119.323,39.398,-75.534
6,4,116277,34.777,-118.483,33.629,-112.387
6,49,28008,35.163,-118.979,40.096,-112.047
6,30,5438,35.54,-119.241,46.501,-111.717
6,41,48333,36.963,-120.315,44.286,-122.649
6,9,4504,35.221,-119.375,41.45,-72.962
6,5,6362,35.3,-119.06,35.241,-92.67
6,27,9046,35.482,-119.357,44.981,-93.36
6,39,14280,35.266,-119.174,40.464,-82.795
6,13,20148,35.47,-119.384,33.488,-84.066
6,40,11560,35.351,-119.048,35.596,-97.134
6,8,32896,35.263,-119.248,39.601,-105.239
6,24,9320,35.199,-119.297,39.137,-76.821
6,18,9781,35.346,-119.251,40.139,-86.29
6,21,4990,35.254,-119.164,38.027,-85.329
6,72,1117,35.131,-119.059,18.373,-66.199
6,46,1365,35.552,-119.199,43.991,-99.726
6,15,60023,35.779,-119.804,21.09,-157.428
6,25,12635,35.374,-119.539,42.314,-71.234
6,44,1167,35.028,-119.131,41.732,-71.423
6,1,5917,35.47,-119.298,32.91,-86.752
6,26,11733,35.294,-119.288,42.643,-84.011
6,38,1322,35.534,-119.196,47.422,-99.81
6,12,58140,35.28,-119.276,27.589,-81.462
6,48,100319,35.138,-119.041,31.345,-97.922
6,36,51086,35.153,-119.323,41.009,-74.228
6,31,5176,35.964,-119.563,41.097,-97.998
6,34,14990,35.183,-119.272,40.538,-74.341
6,56,4287,36.326,-119.692,42.109,-107.788
6,45,6711,35.494,-119.397,33.966,-80.863
6,2,2356,35.719,-119.493,61.384,-146.74
6,47,19823,34.783,-118.618,35.862,-86.173
6,55,7573,35.442,-119.326,43.588,-88.933
6,35,20430,35.153,-118.889,34.546,-106.531
6,54,1034,35.572,-119.4,38.896,-80.677
6,50,741,35.396,-119.504,44.118,-72.865
6,29,14702,35.262,-119.069,38.448,-92.42
6,20,24049,35.535,-119.329,38.03,-97.36
6,32,182992,35.767,-119.305,37.138,-116.474
6,17,32714,35.37,-119.351,41.53,-88.119
6,42,17118,35.305,-119.278,40.343,-76.844
6,28,4252,35.298,-119.164,32.417,-89.483
6,33,1781,35.347,-119.306,43.147,-71.405
6,19,9991,35.589,-119.291,41.403,-92.118
6,23,983,35.439,-119.491,44.077,-69.853
6,6,48937097,35.331,-119.26,35.319,-119.284
6,53,49289,35.815,-119.658,47.386,-121.876
6,37,19961,35.453,-119.51,35.459,-79.894
6,16,11385,35.865,-119.514,44.074,-115.428
6,22,11640,35.351,-119.228,30.465,-90.983
6,11,4062,35.358,-119.49,38.906,-77.032
6,51,16210,35.134,-119.165,38.101,-77.483
8,40,5884,39.447,-105.116,35.668,-97.212
8,39,5312,39.556,-105.089,40.418,-82.928
8,8,7212078,39.596,-105.059,39.601,-105.079
8,16,2506,39.487,-105.324,43.825,-114.794
8,48,41752,39.427,-105.185,31.695,-98.01
8,41,3188,39.617,-105.128,44.866,-122.289
8,12,23329,39.576,-105.13,27.669,-81.589
8,23,252,39.659,-105.166,44.022,-69.92
8,9,1009,39.612,-105.246,41.521,-72.958
8,17,10761,39.631,-105.148,41.393,-88.263
