o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
Florida,Hawaii,12,26.916,-80.937,21.123,-157.552
Utah,North Carolina,7,40.797,-111.864,35.486,-79.335
Idaho,Wisconsin,1,43.08,-115.352,43.082,-88.912
North Carolina,Iowa,12,35.471,-80.537,41.456,-93.896
Mississippi,Tennessee,308,34.678,-89.836,35.232,-89.404
Mississippi,New Hampshire,1,33.321,-91.088,43.022,-70.894
West Virginia,Kansas,5,39.107,-80.675,38.385,-97.361
Virginia,Illinois,47,38.167,-77.263,41.775,-87.905
Colorado,Texas,165,39.372,-105.151,31.621,-97.99
Maine,Rhode Island,5,44.359,-69.437,41.646,-71.408
Massachusetts,Tennessee,6,42.456,-71.096,35.92,-87.582
Montana,South Dakota,2,45.745,-109.828,43.844,-100.021
Hawaii,Wisconsin,2,21.314,-157.813,43.636,-88.642
Indiana,New Mexico,4,39.27,-86.573,35.138,-106.22
Oklahoma,Vermont,1,35.483,-97.552,43.872,-72.451
New Jersey,Arkansas,3,39.989,-74.75,35.164,-92.445
Arkansas,California,18,35.417,-92.733,34.737,-118.848
North Carolina,Colorado,15,35.709,-80.125,39.058,-105.676
North Carolina,Missouri,17,35.526,-80.124,38.647,-91.538
Kansas,Oregon,5,38.745,-96.335,44.243,-122.838
Louisiana,Nebraska,1,29.951,-90.081,41.221,-96.101
Montana,Pennsylvania,1,45.688,-111.083,40.864,-79.889
Arizona,Arizona,52710,33.341,-111.888,33.37,-111.887
District of Columbia,Alabama,8,38.898,-77.028,33.551,-86.817
Nevada,Oregon,33,37.586,-116.097,44.427,-121.507
Virginia,Wyoming,1,36.872,-76.209,44.526,-107.179
District of Columbia,North Carolina,50,38.898,-77.016,35.657,-79.23
Indiana,Hawaii,3,39.276,-86.04,21.431,-157.898
New Hampshire,Florida,3,42.937,-71.277,26.258,-80.758
South Carolina,Missouri,5,33.814,-80.037,37.712,-91.345
Ohio,Virginia,53,40.57,-82.527,38.217,-78.16
Wyoming,Washington,7,42.981,-108.621,47.242,-121.556
Alabama,Minnesota,4,33.463,-86.801,45.222,-93.617
California,Arizona,725,34.293,-118.154,33.771,-112.155
Rhode Island,South Carolina,1,41.817,-71.422,33.631,-80.927
Montana,Idaho,12,46.951,-111.703,44.789,-114.594
Washington,Mississippi,1,47.496,-122.184,31.197,-90.749
Kansas,Minnesota,11,38.996,-98.041,44.352,-93.223
New Hampshire,New York,20,43.229,-71.377,41.252,-74.108
Nevada,New Jersey,15,36.135,-115.164,40.465,-74.307
Illinois,Nevada,46,41.526,-88.113,36.236,-115.288
Arkansas,Michigan,6,35.771,-92.734,42.391,-83.493
Georgia,Mississippi,72,33.612,-84.405,32.548,-89.651
Virginia,Wisconsin,3,38.207,-76.888,43.821,-88.29
Louisiana,Alabama,123,30.446,-90.801,32.346,-87.108
Georgia,Maryland,57,33.649,-84.243,39.097,-76.755
Mississippi,West Virginia,1,34.81,-88.735,39.644,-79.988
Wyoming,Louisiana,1,42.385,-107.347,29.948,-90.071
Oregon,Oklahoma,5,44.883,-122.058,35.492,-97.377
Montana,Alabama,1,45.797,-108.563,32.364,-86.245
North Carolina,Virginia,364,35.76,-79.356,37.463,-78.199
Missouri,New York,42,38.557,-92.588,40.929,-74.222
West Virginia,South Carolina,8,38.463,-80.846,34.206,-80.767
Florida,Alabama,111,29.272,-84.097,32.094,-86.89
California,Ohio,93,34.715,-118.981,40.468,-82.648
Pennsylvania,Virginia,167,40.199,-76.684,38.242,-77.962
West Virginia,Nebraska,1,39.485,-80.143,40.926,-98.342
District of Columbia,Maryland,2629,38.9,-77.012,38.971,-76.922
West Virginia,Tennessee,20,38.608,-80.428,35.903,-86.683
Kansas,Oklahoma,80,38.011,-97.017,35.606,-97.442
Illinois,Rhode Island,4,41.357,-87.976,41.666,-71.491
District of Columbia,Missouri,14,38.894,-77.014,37.963,-92.077
Maryland,Michigan,10,39.135,-76.918,42.685,-83.854
South Carolina,Washington,1,32.855,-79.975,47.606,-122.332
New York,Kentucky,42,41.113,-74.443,37.861,-85.314
Arkansas,Louisiana,44,34.216,-92.619,31.019,-91.621
Arkansas,Oregon,2,34.336,-93.096,44.24,-122.37
Hawaii,Georgia,4,21.314,-157.84,33.315,-84.232
Georgia,South Dakota,3,33.895,-84.374,43.689,-100.64
District of Columbia,Colorado,7,38.884,-77.034,39.839,-105.223
Alaska,Indiana,1,64.757,-147.305,40.418,-86.885
California,Hawaii,105,35.439,-119.768,21.074,-157.344
Pennsylvania,Indiana,37,40.524,-77.828,40.161,-86.278
New Mexico,Wyoming,1,32.842,-104.403,44.291,-105.502
Tennessee,Minnesota,10,35.609,-88.004,45.122,-93.34
Idaho,Massachusetts,1,43.598,-116.238,41.939,-71.294
Iowa,North Carolina,8,41.732,-93.047,35.556,-80.083
Minnesota,Hawaii,2,45.879,-92.681,20.294,-155.796
Maryland,Mississippi,5,39.157,-76.66,32.674,-89.957
Missouri,Indiana,45,38.499,-91.829,39.816,-86.433
Wisconsin,Nevada,11,43.501,-88.917,36.387,-115.61
