o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
50,44,326,44.169,-72.858,41.737,-71.465
01,40,4301,32.734,-86.875,35.594,-96.831
40,02,432,35.523,-97.243,62.038,-147.199
12,05,10892,28.801,-82.945,35.196,-92.548
12,11,3167,27.525,-81.416,38.904,-77.025
08,28,2105,39.526,-105.101,32.343,-89.559
19,20,8732,41.806,-93.55,38.554,-96.152
48,24,8916,31.075,-97.249,39.151,-76.816
49,45,1169,40.452,-111.915,33.775,-80.769
26,33,480,42.962,-84.389,43.248,-71.459
11,41,122,38.923,-77.03,45.211,-122.574
32,44,76,36.795,-116.025,41.791,-71.43
22,16,519,30.952,-91.836,44.064,-114.792
10,34,14783,39.47,-75.607,40.054,-74.776
29,08,28748,38.515,-92.718,39.567,-105.271
28,46,292,33.306,-89.504,43.774,-99.55
35,25,130,34.549,-106.28,42.315,-71.263
47,30,1606,35.84,-86.244,46.333,-111.869
29,27,5742,38.558,-92.499,45.157,-93.603
36,32,3069,41.488,-74.846,36.665,-115.786
08,54,508,39.338,-104.845,38.95,-80.526
24,54,17826,39.406,-77.738,39.329,-78.82
05,33,192,35.148,-93.085,43.159,-71.463
05,27,1527,35.303,-92.805,45.481,-93.611
17,17,12913928,41.229,-88.427,41.254,-88.406
20,19,8352,38.671,-95.854,41.767,-93.398
37,11,1644,35.593,-79.283,38.904,-77.016
55,42,2676,43.681,-89.022,40.476,-77.33
40,28,4118,35.616,-96.909,32.63,-89.532
41,72,179,45.249,-122.833,18.276,-66.193
17,44,201,41.524,-88.114,41.732,-71.439
15,26,480,21.305,-157.873,42.788,-84.085
04,01,2403,33.177,-111.705,32.872,-86.823
38,11,30,47.282,-97.379,38.917,-77.049
02,15,2103,61.521,-149.371,20.652,-156.776
40,40,6273517,35.609,-96.904,35.61,-96.891
72,42,2277,18.259,-66.265,40.287,-75.926
01,36,4074,33.077,-86.77,41.569,-74.779
13,06,15455,33.476,-83.915,35.309,-119.128
47,15,1208,35.818,-86.817,21.023,-157.241
09,10,686,41.424,-72.99,39.199,-75.481
39,38,395,40.133,-83.3,47.484,-99.434
12,20,7647,28.238,-82.357,38.584,-96.321
42,45,15740,40.436,-77.231,33.571,-80.315
54,17,1387,38.845,-80.806,40.665,-88.627
47,46,738,35.792,-86.675,44.093,-99.468
06,04,136323,34.688,-118.466,33.728,-112.455
28,30,955,32.238,-89.403,46.411,-111.657
22,45,4144,30.746,-91.545,33.933,-80.983
20,27,3531,38.725,-96.032,45.085,-93.578
21,46,228,37.477,-86.073,43.89,-99.662
06,35,12937,35.144,-118.891,34.522,-106.538
49,51,1722,40.421,-111.931,38.117,-77.594
18,55,9722,40.522,-86.443,43.659,-88.92
05,36,1224,35.263,-92.807,41.971,-75.25
06,49,53321,34.835,-118.705,39.777,-112.079
30,09,47,45.849,-110.853,41.778,-72.679
18,12,136425,40.196,-86.206,27.603,-82.068
04,24,2248,33.225,-111.85,39.072,-76.774
54,55,1184,38.881,-80.21,43.33,-88.32
05,51,2082,35.346,-92.788,37.691,-77.923
50,37,519,44.044,-72.907,35.444,-80.075
72,53,186,18.342,-66.303,47.441,-122.102
21,35,596,37.553,-85.903,34.411,-106.26
15,50,51,21.169,-157.344,44.445,-72.95
40,36,1973,35.552,-96.975,41.769,-74.985
32,37,1579,36.564,-115.675,35.425,-79.814
32,23,146,36.715,-115.824,44.466,-69.974
38,48,5973,47.518,-100.708,30.663,-97.405
34,18,1967,40.437,-74.447,40.366,-86.189
33,48,1304,43.283,-71.461,31.342,-97.055
34,06,6810,40.493,-74.39,35.007,-119.025
39,37,19805,40.364,-82.874,35.418,-79.846
41,49,4125,44.692,-122.102,40.284,-111.934
46,13,609,43.935,-100.217,33.378,-83.851
56,41,575,41.987,-106.287,44.655,-121.885
56,55,441,42.735,-106.864,44.102,-89.848
25,35,265,42.28,-71.384,34.875,-106.038
46,28,248,43.757,-98.368,31.631,-89.466
72,31,38,18.052,-66.498,41.225,-97.989
47,49,3124,35.876,-86.47,40.285,-111.856
17,50,264,41.57,-88.176,43.91,-72.813
34,41,491,40.441,-74.416,45.061,-122.547
36,23,3809,41.743,-74.696,44.043,-70.013
21,10,256,37.89,-85.278,39.265,-75.567
33,34,1943,43.121,-71.392,40.6,-74.386
53,05,931,47.246,-121.476,35.282,-92.832
12,47,143782,28.232,-82.122,35.813,-84.904
42,22,2373,40.419,-77.609,30.599,-91.324
23,41,86,44.205,-69.79,43.932,-122.855
72,51,542,18.351,-66.277,38.143,-77.361
34,49,1649,40.51,-74.451,40.376,-111.795
19,51,1894,41.813,-93.19,37.662,-78.197
16,02,647,44.656,-115.144,61.086,-148.14
04,26,6220,33.405,-111.973,42.884,-84.308
32,49,19912,36.956,-115.448,39.158,-112.43
27,37,2656,45.136,-93.48,35.465,-79.706
41,29,1233,44.701,-122.409,38.24,-92.852
49,20,1156,40.412,-111.836,38.457,-96.8
36,10,4602,41.216,-74.198,39.212,-75.487
34,72,2430,40.354,-74.511,18.323,-66.525
24,34,16753,39.164,-76.698,40.292,-74.549
11,30,62,38.917,-77.066,45.437,-111.67
06,38,1012,35.222,-118.985,47.386,-100.229
28,18,3259,32.732,-89.423,40.022,-86.296
12,33,6667,27.802,-81.693,43.223,-71.401
49,48,13663,40.31,-111.88,31.207,-97.546
12,27,10963,27.698,-81.98,45.111,-93.429
37,22,7657,35.391,-79.517,30.641,-91.362
72,39,369,18.25,-66.293,40.839,-82.412
15,46,115,21.109,-157.566,43.495,-98.064
51,53,2846,37.836,-77.402,47.354,-121.969
51,47,47167,37.202,-80.172,36.168,-83.976
29,39,7763,38.39,-92.044,40.275,-82.992
39,44,379,40.187,-82.824,41.696,-71.429
27,24,869,45.007,-93.465,38.986,-76.814
04,35,19398,33.597,-111.52,34.64,-106.863
04,21,1803,33.266,-111.723,37.93,-85.546
13,29,10438,33.329,-83.793,38.355,-92.083
33,53,229,43.215,-71.582,47.266,-121.877
17,18,130547,40.943,-88.007,40.546,-86.982
44,51,1164,41.679,-71.428,37.977,-77.613
34,26,2581,40.47,-74.438,42.749,-84.089
11,06,1650,38.908,-77.033,34.957,-119.095
50,50,371877,44.151,-72.855,44.141,-72.857
72,34,1796,18.318,-66.417,40.449,-74.381
05,22,27960,34.279,-92.733,31.877,-92.417
22,02,236,31.068,-91.939,62.309,-150.009
31,53,869,41.028,-96.937,47.409,-121.363
21,15,794,37.948,-85.265,21.02,-157.24
27,01,2272,45.478,-93.651,32.188,-86.959
09,21,297,41.563,-72.797,37.955,-85.615
17,55,115018,41.93,-88.372,43.283,-88.799
17,41,1584,41.595,-88.165,44.892,-122.395
18,21,82521,38.816,-86.147,38.066,-85.776
16,13,1347,44.172,-114.637,33.334,-83.73
48,44,901,31.055,-97.373,41.715,-71.438
20,53,1669,38.574,-96.509,47.307,-121.829
35,39,927,34.544,-105.98,40.452,-82.987
05,05,4864225,35.141,-92.652,35.127,-92.639
46,31,11547,43.679,-98.383,41.551,-97.367
29,47,19133,38.02,-91.624,35.767,-87.21
16,54,129,43.647,-112.831,39.136,-79.315
47,50,294,35.838,-86.432,43.685,-72.77
28,26,2178,32.791,-89.352,42.918,-84.281
72,13,1704,18.323,-66.23,33.402,-83.798
31,27,5561,41.16,-96.951,45.032,-93.64
47,04,7466,35.883,-86.324,33.671,-111.96
19,47,5900,41.762,-92.883,35.93,-85.843
19,53,1256,42.003,-93.126,47.316,-121.439
27,21,1312,45.193,-93.634,37.738,-86.113
39,41,826,40.444,-82.993,44.585,-122.236
13,17,15797,33.501,-83.914,40.884,-88.506
33,05,101,43.158,-71.736,35.029,-93.624
41,10,75,45.194,-122.448,39.204,-75.513
40,19,5208,35.592,-96.711,41.783,-93.075
09,46,36,41.386,-73.026,44.173,-97.303
21,49,1201,37.792,-85.68,40.359,-111.894
29,40,34433,37.818,-93.236,35.936,-96.29
34,37,14392,40.421,-74.452,35.453,-79.184
53,48,18615,47.32,-121.665,31.133,-97.571
44,54,56,41.688,-71.437,39.195,-79.37
40,22,7999,35.508,-97.063,31.186,-92.044
30,41,2493,46.564,-112.067,44.86,-122.36
51,11,34662,38.537,-77.345,38.904,-77.02
24,40,955,39.004,-76.694,35.551,-97.013
26,36,8714,42.609,-83.943,41.704,-75.092
47,72,537,35.793,-86.719,18.302,-66.252
05,08,11006,35.419,-93.091,39.42,-105.53
08,45,3132,39.462,-105.061,33.798,-80.729
51,48,25956,37.739,-77.512,30.972,-97.218
04,15,5813,33.459,-111.844,20.999,-157.257
47,35,1717,35.915,-86.181,34.716,-106.16
47,21,68782,36.162,-86.466,37.26,-86.228
