o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
48,30,7798,31.229,-97.154,46.583,-111.492
42,33,4618,40.417,-76.55,43.273,-71.464
32,44,169,36.128,-115.24,41.705,-71.422
30,26,1227,46.555,-110.981,43.063,-84.681
18,29,21478,39.948,-86.395,38.316,-91.732
33,31,114,43.273,-71.492,41.058,-97.03
31,47,2875,41.096,-96.818,35.831,-86.771
45,46,313,33.956,-81.218,43.949,-99.151
46,51,729,43.89,-99.65,37.968,-77.514
33,48,3055,43.177,-71.486,31.17,-97.265
05,27,1951,35.501,-93.086,44.948,-93.215
49,54,634,39.882,-112.084,38.672,-81.109
38,56,1987,47.654,-101.823,43.047,-107.178
25,35,905,42.249,-71.41,34.676,-106.348
55,42,5707,43.482,-88.969,40.465,-77.368
46,28,347,44.156,-99.066,32.475,-89.627
51,20,8193,37.745,-77.775,38.223,-96.969
50,55,500,44.157,-72.936,43.817,-89.409
34,41,1322,40.4,-74.5,44.528,-122.536
23,49,261,44.231,-69.783,40.179,-112.113
55,11,588,43.468,-88.662,38.908,-77.03
27,10,245,45.074,-93.824,39.263,-75.496
56,29,1651,42.309,-106.253,38.235,-92.937
15,09,290,21.161,-157.474,41.484,-72.829
48,49,30469,31.117,-97.548,40.333,-111.789
20,33,406,38.672,-96.453,43.254,-71.629
40,16,1814,35.6,-97.189,43.9,-115.066
45,01,14499,33.992,-81.11,32.986,-86.662
26,33,1120,43.095,-84.401,43.216,-71.472
42,27,3659,40.489,-77.149,45.098,-93.438
32,50,130,36.645,-115.935,43.833,-72.871
49,39,2794,40.493,-111.912,40.24,-83.028
31,53,3837,41.106,-96.748,47.427,-121.795
33,25,106624,42.982,-71.377,42.479,-71.233
22,39,4986,30.659,-91.456,40.363,-82.889
04,04,8043671,33.345,-111.893,33.369,-111.897
15,37,1413,21.223,-157.636,35.432,-79.404
56,17,2145,42.096,-106.939,41.1,-88.61
44,27,308,41.774,-71.437,44.908,-93.255
08,40,12879,39.426,-105.167,35.681,-97.105
49,40,1738,40.39,-111.757,35.709,-96.775
41,49,7601,44.769,-122.338,40.323,-111.952
20,19,13400,38.746,-95.755,41.806,-93.367
32,29,3054,36.878,-116.007,38.468,-92.428
28,04,3038,32.335,-89.387,33.495,-111.875
55,56,919,43.883,-89.733,42.678,-107.402
53,56,2771,47.332,-121.08,42.58,-107.579
08,39,11706,39.631,-105.059,40.31,-83.055
49,13,3710,40.534,-111.911,33.568,-83.996
34,55,2364,40.549,-74.428,43.635,-89.027
53,05,1835,47.459,-121.272,35.214,-92.59
01,02,708,32.791,-86.51,61.674,-149.023
13,32,10812,33.641,-84.021,36.499,-115.607
42,16,771,40.633,-76.965,44.833,-115.352
56,26,969,42.417,-106.466,42.806,-84.292
48,46,4464,31.237,-97.634,43.962,-99.567
50,09,5402,44.016,-72.873,41.541,-72.808
13,29,16348,33.443,-83.961,38.401,-92.04
31,31,2788162,41.125,-96.943,41.139,-96.958
44,45,950,41.712,-71.46,33.729,-80.369
29,51,8026,38.379,-92.041,37.904,-77.689
45,30,886,33.969,-81.096,46.284,-111.276
48,15,25421,31.296,-97.146,21.087,-157.413
06,04,211470,34.777,-118.634,33.667,-112.322
18,18,8764801,40.106,-86.253,40.12,-86.254
72,42,2328,18.257,-66.33,40.321,-75.759
39,50,1661,40.508,-82.849,44.064,-72.805
56,32,2201,42.507,-107.249,37.19,-115.662
34,09,22254,40.609,-74.346,41.4,-73.02
02,72,88,61.665,-148.78,18.394,-66.072
30,44,83,46.406,-112.719,41.644,-71.418
32,26,3123,36.519,-115.615,42.787,-83.993
20,16,1061,38.407,-96.675,44.076,-115.352
44,51,1872,41.716,-71.411,37.977,-77.496
06,10,2313,35.389,-119.455,39.378,-75.517
04,72,889,33.131,-111.851,18.352,-66.31
48,01,52841,31.066,-97.167,32.499,-87.005
47,46,754,35.751,-86.854,44.029,-98.908
19,05,3523,41.901,-93.198,35.447,-92.814
37,25,14938,35.457,-79.518,42.272,-71.341
35,47,1903,34.16,-105.701,35.802,-86.611
30,29,901,46.64,-111.137,38.357,-92.33
18,26,68104,40.842,-86.116,42.566,-84.99
54,41,235,38.852,-80.45,44.346,-122.549
