o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
Utah,North Carolina,3,40.962,-111.761,35.695,-79.379
North Carolina,Iowa,4,34.917,-80.132,41.682,-93.548
Mississippi,Tennessee,178,34.583,-89.857,35.213,-89.502
West Virginia,Kansas,2,39.63,-79.957,38.729,-96.786
Virginia,Illinois,14,37.761,-77.144,41.321,-87.997
Colorado,Texas,129,39.239,-105.316,31.126,-97.819
Massachusetts,Tennessee,4,42.323,-71.102,36.098,-86.225
Montana,South Dakota,2,45.908,-112.02,44.103,-101.244
Indiana,New Mexico,1,38.889,-86.791,36.373,-103.477
New Jersey,Arkansas,2,40.777,-74.138,34.981,-92.329
Arkansas,California,11,34.981,-91.857,34.938,-118.945
North Carolina,Colorado,9,35.663,-79.829,39.164,-105.658
Kansas,California,45,38.369,-97.877,35.062,-119.259
Michigan,West Virginia,3,43.968,-85.119,38.937,-80.328
New Jersey,Washington,9,40.595,-74.285,47.387,-121.502
Rhode Island,Massachusetts,243,41.8,-71.415,42.053,-71.33
New York,New Hampshire,6,41.164,-74.724,43.487,-71.359
Wisconsin,Massachusetts,2,44.478,-88.094,42.231,-71.397
Kansas,Georgia,5,39.499,-97.537,33.54,-84.141
Nebraska,Wyoming,5,41.296,-99.625,42.529,-106.663
Nebraska,Nebraska,6883,41.131,-96.613,41.15,-96.696
Kentucky,Pennsylvania,12,38.446,-84.926,40.586,-77.786
Utah,Idaho,22,40.218,-112.152,44.106,-114.276
North Carolina,Missouri,3,35.211,-80.842,38.297,-91.05
Kansas,Oregon,4,39.102,-98.766,45.496,-122.711
Louisiana,Nebraska,1,30.458,-91.14,41.545,-96.135
Montana,Pennsylvania,2,45.398,-108.964,40.473,-75.962
Arizona,Arizona,33889,33.378,-111.883,33.399,-111.882
District of Columbia,Alabama,2,38.894,-76.982,34.458,-86.715
Nevada,Oregon,14,37.731,-116.689,45.218,-121.553
Virginia,Wyoming,1,36.675,-76.423,41.969,-104.167
District of Columbia,North Carolina,27,38.897,-77.021,35.488,-79.709
New Hampshire,Florida,2,42.883,-71.335,27.51,-81.664
South Carolina,Missouri,4,33.194,-80.996,38.163,-91.589
Ohio,Virginia,29,40.487,-82.446,37.923,-77.805
Wyoming,Washington,8,43.19,-107.619,47.05,-120.407
Iowa,North Dakota,1,43.225,-92.956,47.907,-97.066
Minnesota,Oregon,3,45.175,-93.598,44.614,-123.158
Illinois,Maine,3,39.497,-88.23,44.615,-69.28
Virginia,Maine,1,37.506,-77.649,44.033,-69.519
Florida,Kentucky,25,27.792,-81.525,37.845,-85.709
Indiana,Nebraska,1,37.884,-87.053,41.075,-96.278
Oklahoma,Pennsylvania,4,36.056,-96.103,40.545,-78.949
Wyoming,Alabama,1,41.135,-104.787,32.364,-86.245
Texas,Rhode Island,2,29.393,-99.719,41.568,-71.487
Pennsylvania,Tennessee,12,40.401,-77.869,35.838,-85.806
Indiana,California,19,40.068,-86.125,36.046,-119.928
Mississippi,Arkansas,17,34.111,-89.997,34.648,-92.032
Indiana,Indiana,25343,40.1,-86.208,40.092,-86.217
New Mexico,Michigan,1,32.742,-103.148,42.432,-83.98
Washington,Kansas,3,47.647,-119.064,38.437,-95.868
Utah,Georgia,3,40.723,-111.927,33.582,-84.146
Alabama,Minnesota,3,33.293,-87.259,44.838,-93.485
California,Arizona,339,34.26,-117.893,33.765,-112.163
Montana,Idaho,6,46.519,-112.777,46.203,-115.919
Washington,Mississippi,2,47.602,-122.241,30.934,-89.872
Kansas,Minnesota,3,38.503,-97.348,45.949,-93.296
New Hampshire,New York,5,43.424,-71.276,41.906,-74.74
Nevada,New Jersey,13,36.141,-115.199,40.802,-74.199
Illinois,Nevada,21,41.712,-88.003,36.581,-115.64
